,layers,neurons,batch_size,Temp,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,Temp_lag_1,Temp_lag_2,Temp_lag_3,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,2.0,31.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.820801926334868,331.6548239852852,0.9643055920508314,0.8658089781318445,10.970126264922671,259.4150192635388,0.9650409027528151,0.8657559043789482,10.819358196327105,225.36371933048733,0.9801466650082732,0.9273877553416852
1,3.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.939998183095813,292.63237118065257,0.9683607597213573,0.8834048565860266,9.863028782624845,212.31281232512725,0.9709675171844762,0.8883008365998886,10.524720136816157,217.78948852870755,0.9809459787966393,0.9298281743306478
2,2.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.01203871449114,294.23271413206885,0.9681681594929439,0.8827063372383779,9.933391407470308,216.5634191939268,0.9703633596609865,0.886270783788328,10.74703096514551,223.946957137526,0.9802686155976734,0.9278442364615548
3,4.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.951465409377688,291.09007164845093,0.9682379558387233,0.8838379960078998,9.825696985616087,209.94371580841337,0.971199170982253,0.8893049715271698,11.081480527272843,233.41769595060748,0.9794715495512413,0.9247927621344826
4,3.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.93481644407481,292.56104540274674,0.9684258228969207,0.8834706268377563,9.859790911026169,212.83941117104223,0.9709138139751923,0.8879765256212555,10.581794946874933,218.12072722295602,0.9805947707074364,0.9297214491435657
5,1.0,37.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.391828682808715,304.7472614602003,0.9669845408278621,0.8779694865066763,9.849661496475605,207.55161919969112,0.9718161567132397,0.8899386877027904,10.662972788040443,221.49659047835993,0.9806631133923973,0.9286337451894304
6,1.0,44.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.387252427063231,305.98834271654425,0.9667619689342477,0.8772060550654674,9.83023110986557,207.9642695306484,0.9714322112783663,0.8897217918758697,10.773109447752462,224.0927068416271,0.9802998710256443,0.9277972758717823
7,1.0,34.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.418413566387873,269.81912359184935,0.9711806466385282,0.8923241564783617,9.874613630125369,208.26590281833822,0.972188857335738,0.8898372480119252,10.64761809353606,216.01828932912582,0.9813979346328993,0.9303988551394342
8,3.0,43.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.996117151566484,293.1394096527117,0.9682837800803965,0.8831357197285241,9.86330263805368,212.67115792014164,0.9709917056044154,0.8882519815014766,10.61127155180364,218.48244194646813,0.980567180995389,0.9296049045725132
9,4.0,29.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.234150845087797,264.33056120242776,0.9720214585440051,0.8945004075833752,9.861718208555708,212.37183733311673,0.9716466694241559,0.8883760016491224,10.974376568507626,221.78253870982059,0.9806812429471629,0.9285416126003689
