,layers,neurons,batch_size,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,1.0,31.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.81170144536331,7454.281307848249,0.04280575547930577,-1.9951710612574889,66.69998735921016,6391.7436855580145,0.031646479709272986,-2.6065674706314064,53.74016711351241,5411.792505905471,0.10824865704550857,-0.7436808491014404
1,4.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02595216779915,275.1445209344196,0.9705970520262048,0.8908423514269099,9.761850152958031,204.67498487307677,0.9706265555600654,0.8915412757354164,10.839859853958155,216.14445487076236,0.9810732512799514,0.9303582045715257
2,1.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04173370837227,274.9220633847634,0.9702340905014769,0.8908150939293111,9.795062975202573,205.02569670245887,0.9701583100037787,0.891046527014355,10.749377467941786,213.66705503651454,0.981220715164017,0.931156423394925
3,1.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.006267995951584,275.0719419984132,0.9704010443926472,0.8907128037258973,9.789021585658789,205.290568925117,0.9700501279187432,0.8909061481145069,10.886389020495544,216.22493278598256,0.9808970022737445,0.9303322745678547
4,3.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.974409504589769,273.32415305182934,0.9711170982907738,0.8914914441784436,9.687844339141744,205.51708822546053,0.9712063237207285,0.891399289978853,10.920881051336966,217.7528533938898,0.9804979425740282,0.9298399781799115
5,3.0,18.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.016588032912729,274.22422928679805,0.9706914418959451,0.8911421603875664,9.824272131256905,207.62508070994483,0.969897323136548,0.8900605690662808,11.274417586964397,221.07620469503522,0.9805319610808596,0.9287691935900885
6,4.0,43.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.989200289218369,275.6334480656065,0.9710508557319812,0.8905771281182316,9.779850688496232,207.766466266408,0.9707026842993731,0.8901612492987969,10.873374756147857,220.83206437408467,0.9802080206791637,0.928847855660312
7,1.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075370896022644,275.00468065810315,0.9701671535990951,0.8907969503838908,9.782574798866737,204.6284318738226,0.9700411786895342,0.8911700895560746,10.769452171757623,213.987809892662,0.981175886985957,0.9310530761030046
8,3.0,18.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.986781467343736,273.30671251941305,0.9707378360042986,0.8914377532452036,9.730897389619328,204.70719431995798,0.9703558687914018,0.8913375516488762,11.15321878353616,219.58283415962475,0.9805886697298278,0.92925035793635
9,1.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.016131838217447,275.6908910269063,0.9703131365657913,0.890521813310132,9.732315002929125,204.2824966272139,0.9703204145810255,0.8912663509461445,10.716763095216598,212.99584068427438,0.9813349679836236,0.9313726888209121
10,1.0,46.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.995130673380292,275.1825570418189,0.9704483842115509,0.8906602456240126,9.78669275204534,205.46025200450657,0.9700686770651377,0.8908158145291561,10.9268686016275,216.79983621628455,0.9808046000558448,0.9301470405441175
