,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,Temp_lag_1,Temp_lag_2,Temp_lag_3,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,22.0,11.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.045034920250277,850.2026926668352,0.8910469215944142,0.6653598010405165,23.547690603831942,905.176524680063,0.8720982925000036,0.5055298893923059,26.832412608362812,1184.8902695901513,0.8541390157358262,0.6182280696984508
1,182.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.174977356050817,233.1176196642922,0.9751070471673242,0.9073780211888078,9.908256155689388,219.71672381925123,0.9688473182697639,0.8851737269513285,11.615836506402575,244.58146437059656,0.977967813631496,0.9211957932602147
2,216.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.184167901505683,233.29566646850503,0.9750785026708177,0.9073117192481213,9.909709029409294,219.62647352588453,0.9688658762347537,0.8853002322154706,11.645242352831652,245.0487000421299,0.9779263738325733,0.9210452498142898
3,178.0,4.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.244070285887961,238.94686929922455,0.9744495090098221,0.9050668867439473,9.92185464766688,219.55752980467426,0.9689293560539698,0.8861681609677774,11.489546652198918,239.123061344745,0.9785297954254819,0.9229544920300712
4,83.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.162048108482866,233.71255056380244,0.9750938195492269,0.9071502783674307,9.911579609049946,219.6144900827549,0.9688722821026752,0.8850797019216294,11.582602020384565,243.40622267651355,0.978081362476362,0.9215744564171635
5,131.0,4.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.211095260448346,236.82378637683323,0.9747521365668054,0.9059235702712096,9.919249891255975,219.83048575199365,0.9689132208848532,0.8855941034384871,11.526131270193446,241.13012661323168,0.978346835086788,0.9223078151170636
6,164.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.207883217473238,236.34845438062374,0.9747782433238347,0.9061193975465586,9.908511668172714,219.2067969313441,0.9689642879193333,0.8858290482293006,11.584036601070643,242.66649339256935,0.9781594760556337,0.9218127973706508
7,162.0,4.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.208131610412558,236.3489393116171,0.9747782648041454,0.9061189952241,9.909595778480718,219.40738007150185,0.9689375033431582,0.8857142793876402,11.586025473836997,242.6294834281208,0.9781638486786536,0.9218247219901119
8,190.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.208415221815624,236.22144576756853,0.9747680686098725,0.9061712688506691,9.89874304679742,219.09043506098965,0.9689734819202198,0.8859789690342053,11.590096946936004,242.6231829398834,0.9781597625449799,0.9218267520089397
9,128.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.201845441158168,236.44023746023942,0.9747991582356766,0.9060800447651632,9.911857851765145,219.30632183901542,0.9689673078098013,0.8857108345996025,11.527114031085022,241.2094304798829,0.9783396236214185,0.9222822633921243
