,n_estimators,max_depth,min_samples_split,min_samples_leaf,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,120.0,10.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.688252579598354,467.46668779911414,0.9459138993209462,0.8135526604285288,14.681740923598136,462.68206174791794,0.9302264732357635,0.7530160650016852,16.518059133252862,515.3339156061827,0.9502575730150202,0.8339592882479493
1,277.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.208782204728081,236.3247167800571,0.9747753597123605,0.9061354540243232,9.897442501914615,218.9042254634437,0.9690382833088687,0.8860908762523545,11.597997625848757,242.45048865241625,0.9782003950280382,0.9218823941499636
2,275.0,4.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.209036930693397,236.33713550256186,0.9747755790077197,0.9061302800908928,9.896433265919388,218.8911201188455,0.969038423542651,0.88609389423838,11.594956684448038,242.2387090783401,0.9782215002244127,0.9219506295797486
3,290.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206661388958084,236.33928065088327,0.9747681747221135,0.906129734115421,9.894683043126316,218.84716985636138,0.9690488973936646,0.8861477180754846,11.589862296244116,242.1858228116996,0.9782327342047957,0.9219676695476005
4,291.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206075202934485,236.34602384295738,0.9747677072317097,0.9061273725649636,9.89409849672515,218.82067100815405,0.9690517728694028,0.8861655636290213,11.586054747480798,242.06528762499698,0.9782453622513507,0.9220065060137929
5,291.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206075202934485,236.34602384295738,0.9747677072317097,0.9061273725649636,9.89409849672515,218.82067100815405,0.9690517728694028,0.8861655636290213,11.586054747480798,242.06528762499698,0.9782453622513507,0.9220065060137929
6,270.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.20956540882608,236.2949001863696,0.9747779555906977,0.9061472284438002,9.897866719632322,218.92888941473376,0.9690283691656945,0.886075076663442,11.597176827276245,242.33504324604573,0.9782089097457913,0.9219195906877069
7,195.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.209260812874371,236.18912283291212,0.9747779361691059,0.9061841277780907,9.89952107278959,219.15328364270945,0.9689694723229074,0.885945340674417,11.59459854169096,242.5702396535568,0.9781727071811358,0.9218438103485481
8,275.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17982789371128,233.2858569726094,0.9751036029365223,0.907316640187181,9.90741441219419,219.81172830527572,0.9688741541055097,0.8851686779962138,11.633995885961797,244.43582342957282,0.9780033211376198,0.9212427188064974
9,290.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206661388958084,236.33928065088327,0.9747681747221135,0.906129734115421,9.894683043126316,218.84716985636135,0.9690488973936646,0.8861477180754846,11.589862296244116,242.18582281169967,0.9782327342047957,0.9219676695476005
