,layers,neurons,batch_size,Temp,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,Temp_lag_1,Temp_lag_2,Temp_lag_3,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,4.0,26.0,163.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3459951940836152,11.031207326758839,0.1847864696665764,0.02325663658569807,2.223566643021172,9.574022745735302,0.20234293772253562,-0.020591570514086808,2.3756035934133455,10.082032999443888,0.1733299003649058,0.03416888340863333
1,3.0,47.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0910867747162023,2.3574662769172927,0.9387553037777301,0.7912085038867889,1.0576149375838462,2.194724075639925,0.9274519550714543,0.7572398655579358,1.078187822770511,2.26161989242168,0.9317427919080375,0.783343015627566
2,4.0,25.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0880443360485672,2.3585646500999524,0.9391248846831419,0.7911153399858399,1.0570578204140024,2.1966807355454607,0.9277300758168343,0.7570422839897577,1.0598456622282255,2.217513532966917,0.9366201028637247,0.7875682839244783
3,3.0,36.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878576244003026,2.358224385851208,0.9393595136592825,0.7911467293147249,1.0586820856599586,2.2001582247704166,0.9279709928550735,0.7566702609125298,1.06565400439892,2.2264557544635477,0.9352533851948392,0.7867116436245136
4,3.0,36.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871119464137455,2.3604025511967794,0.9392314741030673,0.7909544809481457,1.058223260279858,2.2019147499859737,0.9278370597782208,0.7565930934074061,1.0630293020829376,2.2104234988377387,0.9369762169187997,0.788247489753306
5,3.0,49.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0898056443523005,2.3589409497162728,0.9391616872985327,0.7910722274918779,1.0562516192572304,2.196585996522985,0.9276566677002079,0.7569946224098341,1.064675832101206,2.2159820535168984,0.9354923190847005,0.7877149954565007
6,2.0,44.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0899656999938965,2.360153270103031,0.9393195980777738,0.7909758605191681,1.059355569277859,2.197673811209947,0.9278596319836399,0.7569362592436877,1.0655679351468936,2.21656616378053,0.9361015484958013,0.7876590392948648
7,2.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089784715993716,2.3577116202244843,0.9386929970860006,0.7911974240585091,1.058911503498618,2.199584802147778,0.927341771629058,0.7568935576995045,1.0654330539113674,2.213750989610695,0.9358725126868759,0.7879287252611773
8,3.0,22.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0886354516665797,2.3578811632418026,0.9392360029320543,0.7911786665312984,1.058312081390452,2.1999478245738717,0.9277630929131995,0.7567177302198892,1.0618993290679817,2.2188860623756885,0.9363091099328622,0.7874367993705693
9,2.0,32.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891995165177641,2.3580615869236325,0.9391025658060607,0.7911590266724413,1.0582977342632827,2.2006863235933025,0.9277168856009004,0.7564138898331746,1.0606326907499177,2.208879155937778,0.9365865419221879,0.7883954335685615
