,layers,neurons,batch_size,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,1.0,27.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3954936184587265,11.274204997267129,0.05148673521929692,0.001713322022444575,2.2383565194606927,9.724863212275642,0.051032926083970476,-0.037372632119631044,2.456319142270938,10.458700992503987,0.03341192414514316,-0.0019148775095794157
1,2.0,26.0,107.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0905694147062273,2.3578812505969715,0.9393134342740757,0.7911772132466769,1.0605072912308404,2.200299705955511,0.9278705860631307,0.7566022115573743,1.0577125784635277,2.2093578480286142,0.9371819258696475,0.7883495761788246
2,2.0,49.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089131884550099,2.360477428983295,0.9393552184456091,0.7909433812422249,1.0562610708844518,2.19959550698923,0.928093036410246,0.7567949668863762,1.0576052086178551,2.2114619006290086,0.9368495352316746,0.7881480137089816
3,2.0,34.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0907461154685085,2.358008152311612,0.9388019178830596,0.791168382208,1.0581487353580543,2.196884332335384,0.9273515774758816,0.7569077984055764,1.0639449051324303,2.209516574522705,0.9371644666109806,0.7883343706159159
4,2.0,49.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090227457913468,2.361330921556985,0.9389506712559319,0.7908744334328502,1.057376248897954,2.2041972283452163,0.9273341742287022,0.7564312718922038,1.0605687987241885,2.232405503785008,0.9359671845603983,0.7861416739536247
5,3.0,12.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0889423138361911,2.3583512557882083,0.9395478397072241,0.7911382964702536,1.0567656263667957,2.1960707741096934,0.9282935153252091,0.757135701741089,1.0572086569221377,2.218016626701297,0.9378662439554465,0.7875200889241988
6,3.0,48.0,158.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878209502532066,2.359723512673218,0.9393049674346592,0.7910038293822865,1.0558722382867365,2.199749546395016,0.9278444263798391,0.7565287020169464,1.055826515665222,2.2077746040032395,0.9374706021698251,0.7885012466152285
7,2.0,49.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0880458723938957,2.3610757171812757,0.9390909478823337,0.7908924314690022,1.0564415765107371,2.1999838160288525,0.9277481169167676,0.7568188676241315,1.056366719059202,2.2148823741413812,0.937118284048127,0.787820341725374
8,3.0,45.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867054009764257,2.3604683775670594,0.939571021188222,0.7909522767844119,1.0570097417388276,2.2031383590912004,0.9282615288111636,0.7563093868677644,1.0566481602166546,2.2183078789431163,0.936104602970445,0.787492187758041
9,4.0,13.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090641006514867,2.356365419520988,0.939052176662377,0.7913083113591965,1.0588501247045068,2.1949536619654624,0.9278216287489964,0.7573043757927306,1.0596551684776976,2.2041603298917902,0.9371125731867112,0.7888474841648299
