,layers,neurons,batch_size,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,1.0,39.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0917999894314718,2.3585349181183264,0.9390696820274883,0.791116355143756,1.0612744062263106,2.2031267914492663,0.9275887210199357,0.7562349148451232,1.0652200933560187,2.214443460357586,0.9364248141512928,0.7878623884623677
1,3.0,30.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0895822616983821,2.3646789732060167,0.9383182994827228,0.7905599295374016,1.0581781565873665,2.200928308153008,0.9266812581103094,0.7567451756916548,1.0583634915300426,2.209850136278653,0.937241860818929,0.7883024163143164
2,3.0,46.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089106395682369,2.3585491077112897,0.9390374150345957,0.7911173709890773,1.0577195824257286,2.197666923604084,0.9276071986564901,0.7568397983665459,1.069663919089652,2.2251896169535104,0.9346648172181715,0.7868329361262486
3,4.0,33.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089925618310385,2.360634984727406,0.9394903802139596,0.7909374483819276,1.0581377418107352,2.1971385594392383,0.9283128236629646,0.7569190633814962,1.0730727218653777,2.217616062615558,0.9360430024052312,0.787558461865273
4,2.0,47.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090824692778928,2.364401955750967,0.9384237616457045,0.7905959029305358,1.0585639521611327,2.1977088629745074,0.9270794835086715,0.7569857535163962,1.0496004933253644,2.2094660158049635,0.9373027224223401,0.7883392140024443
5,2.0,35.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0901507102225019,2.360357645051255,0.9384997604887342,0.7909565147046627,1.058905527846006,2.2011213306631303,0.927130605277914,0.7566443453261141,1.0554974745849959,2.214192274145556,0.9367897265147557,0.787886451412732
6,4.0,33.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0861341008197563,2.358959827831234,0.9394264557985925,0.7910767233653134,1.054904606075451,2.198092217728453,0.9282265325287814,0.7569300767782134,1.0665500935110932,2.215181323923751,0.9374611291657421,0.7877917031559378
7,3.0,31.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088241781325641,2.358422344949831,0.9395159015394792,0.7911302344047002,1.0577005192938647,2.1993585050739117,0.9282952678901022,0.7567291594257574,1.0559886946452368,2.2145729959472047,0.937286746556578,0.7878499793080666
8,2.0,25.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0911016017555497,2.3580583024791,0.939022152593032,0.7911622167832503,1.0585103422072986,2.1995052566213023,0.9276513465754128,0.7567406354622921,1.0575376177353972,2.214413172599175,0.9362559772999202,0.787865289946575
9,3.0,43.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0901608492882777,2.3615789059770997,0.9384654466882236,0.7908458680814534,1.0571773601397696,2.1989151027532614,0.926975521347245,0.7569074296222442,1.07422378988711,2.2257760244085136,0.9352354306133681,0.7867767598999782
10,3.0,36.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879826329442,2.3583393310437644,0.9389865007834579,0.7911344339066346,1.0565839429281927,2.198253817036128,0.9275773649363372,0.756948601233647,1.0629820259811458,2.2271377639982752,0.9359495263424936,0.7866463089811447
11,3.0,31.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0911024878652447,2.3579847761330037,0.9391235847874723,0.7911676421982508,1.0583603556480639,2.1983498802907246,0.9277616031416007,0.7568624742811546,1.067875985079376,2.220561904486037,0.9367607111467173,0.7872762582915271
12,3.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086732809110285,2.3596786453545446,0.9395588072670966,0.7910167351874395,1.0575244018465078,2.2025222191070917,0.9281820529720468,0.7565471245691994,1.0633841912068571,2.226916576344625,0.9359734471923563,0.7866674981518718
13,2.0,47.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0908007743999315,2.361828965276875,0.9388131074680901,0.790821929560193,1.0590383653792164,2.2006883943977806,0.9272857123001955,0.7566522202071883,1.05121502335637,2.202795408558832,0.9371721760338712,0.7889782398859373
14,3.0,32.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0915152531191052,2.3564513229052637,0.9389149202258065,0.7913030337421085,1.057904539395504,2.19415431685698,0.9276826856700253,0.757310520609473,1.057435543013901,2.20863162690726,0.9365337006411012,0.7884191461709649
15,3.0,14.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090364762689398,2.357757629253071,0.9391930935618074,0.7911837102661498,1.058823822485211,2.1943127943591323,0.9279338050296357,0.7572980276010834,1.0592074216038794,2.212294931684233,0.9367422369065231,0.7880682116180475
16,3.0,14.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0904013910714496,2.3573394434425112,0.938945801998127,0.79122487991703,1.0581806781692151,2.196092440451679,0.9276980570606934,0.7571481800381494,1.0570377961576671,2.2121221503395825,0.9377225198001008,0.7880847635971016
17,2.0,44.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0894896553138689,2.3575737329605357,0.9391759860331288,0.7912047264522961,1.0583120894696718,2.1978558025660413,0.9277879728451515,0.7569477589039705,1.061424593008785,2.214946165878799,0.9366477901059431,0.7878142306518451
18,2.0,46.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0906697183617555,2.3587570813286636,0.939109933830431,0.7910974397428866,1.0593896185396479,2.1991706154729505,0.9275579249598336,0.7567511015345503,1.0553092872070944,2.213458626252889,0.9371302735941041,0.7879567328692001
19,2.0,47.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0893725211663006,2.362619348106725,0.9387008289725435,0.7907539875991718,1.0571852678392817,2.1968124796127557,0.9272719899683344,0.7570937477473887,1.051679284494186,2.210545085629121,0.9370735300464504,0.7882358420720804
20,2.0,49.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0880187457881092,2.361115208469077,0.9394987508408802,0.7908875832122679,1.0565670831141571,2.2021161094367283,0.9280904022961199,0.7565527820845304,1.0621780568826134,2.2276710590838107,0.9360803651491427,0.786595220774236
21,3.0,30.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089866017130588,2.3582795250471564,0.9388330011231947,0.7911381773386092,1.0566977835990439,2.193478440673319,0.9275191913072522,0.757302297084817,1.058341559270925,2.218655388954655,0.9363278648290453,0.7874588972518018
22,3.0,38.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0880303585558808,2.359192044642026,0.9395885167322888,0.7910631839289629,1.0560536589611709,2.199912860152079,0.9283021542046175,0.7566645449689171,1.055094771229515,2.208777106102935,0.9376213137605953,0.7884052096629206
23,3.0,46.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0886737114756277,2.3595043448577235,0.9387844873945781,0.7910336036236026,1.0572127241052547,2.198012444997139,0.9273693318746461,0.7568710325409815,1.0682157453396928,2.2312403392330915,0.9344768347061827,0.7862532935228377
24,3.0,31.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878171702562782,2.3584174791148405,0.9392772519105692,0.791130496125932,1.0576591833073532,2.2029540578460325,0.927991698836401,0.7563966377740186,1.0593323677495214,2.2202029099500202,0.9363073787321261,0.7873106489837209
25,2.0,35.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0900119988558683,2.3599787244570263,0.9388657555619941,0.790991065801293,1.0592203837341243,2.1996580335135536,0.9271207296994977,0.7565785564465858,1.0579265532297095,2.2114008878858935,0.9364125717257779,0.7881538585624761
26,2.0,47.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891877677425161,2.3619856750142327,0.9388160066614346,0.7908089128331983,1.0574011772443477,2.199914192929998,0.9274017230049958,0.7567616291598216,1.0658513245464087,2.2302068353324316,0.9351699343683826,0.7863523003626716
27,3.0,50.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0909707089161338,2.3598126203158327,0.9389879970313341,0.7910083895550526,1.0571820582931932,2.194095573020002,0.9277658919972054,0.7572947470131113,1.0656788735589569,2.2286999307258974,0.9351442737576939,0.7864966576920719
28,2.0,49.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0883505245984022,2.3614429671676254,0.9394713637050294,0.7908600800482357,1.0562823994341672,2.2024958688031275,0.9281440356363684,0.7565062067009145,1.058865666926777,2.215043164833154,0.9366175855077046,0.7878049384179873
29,2.0,34.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0899480221330307,2.3582599703526066,0.9390931483356226,0.7911464302414866,1.0581405679387343,2.2007192688904667,0.9276242072062427,0.7565814811155966,1.0617990621957336,2.2095860868490944,0.9372589714549439,0.7883277115256493
30,3.0,30.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086093335892973,2.3583035535042294,0.9393885471863762,0.7911395241449408,1.0541305645105932,2.195861237298368,0.9280860573768708,0.7571157374522248,1.054918133402363,2.205650395662276,0.9368699591744342,0.7887047399497512
31,2.0,44.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0893959334801004,2.359045133732378,0.9391432148248144,0.7910742682308232,1.0589232316750592,2.2002135459850427,0.9274612679669989,0.7566748580241242,1.0542127603173308,2.208114579509663,0.937904674589988,0.7884686778939198
32,3.0,41.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884553832514796,2.3645200846793837,0.9396355663521825,0.7905685634142279,1.0585853979208868,2.2046926761891714,0.9282856359247265,0.7562399926769265,1.0607743531900187,2.2269814115974738,0.9356083934204832,0.786661287112426
33,3.0,44.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884812968162816,2.3601751718601722,0.9387486254202522,0.7909734165612237,1.0576840746315106,2.1994489547385965,0.9274862982021892,0.7567531692690808,1.055438323979803,2.2044609101469987,0.936850223066892,0.7888186894005667
