,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,Temp_lag_1,Temp_lag_2,Temp_lag_3,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,203.0,12.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71331600511924,6.70049852323697,0.7437141002218675,0.40635268426078575,1.6888116816416725,6.517227951089456,0.6940792796816107,0.3131801677910956,1.5106262343013521,5.241425173705463,0.8058341622263416,0.49788584025371885
1,90.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081803336822174,2.304106061833527,0.9404653149290603,0.7959625995313249,1.0624089341737628,2.210895329328773,0.9273379639569924,0.7556181296385676,1.0635055188455098,2.219616056704358,0.9361893305195856,0.7873668679155142
2,277.0,5.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821066162765307,2.3071821041603715,0.9403930521549062,0.7956858860618748,1.0623860929390427,2.2119642937194373,0.9273146146743632,0.7555326883626542,1.0634485736433292,2.2213887163199835,0.9361865559781373,0.7871970519849385
3,93.0,5.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0820040241991695,2.305583499657424,0.9404275543521674,0.7958297126205367,1.062492157305671,2.211486926061551,0.9273109755978153,0.7555533268507765,1.0636007706292732,2.219933629802106,0.9361851483725949,0.7873364452835298
4,251.0,5.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824635864042915,2.3107111857623646,0.9403072912611388,0.7953671023857611,1.0624633976149356,2.2132247278150534,0.9272862901814114,0.7554272075207625,1.062935490494323,2.222782508823553,0.93620701911924,0.7870635304848508
5,283.0,5.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821904377196252,2.307921983788872,0.9403757193960536,0.7956189223456531,1.062411696128644,2.2123428582945692,0.927302716644431,0.7554966749240566,1.0633557824340978,2.221761814466515,0.9361891280598938,0.7871613102055293
6,246.0,5.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819953895693732,2.306418830844911,0.9404250902682414,0.7957549384579252,1.0624319120465895,2.2116839049512884,0.9273393803932886,0.7555597334363036,1.063497665070658,2.220918668621299,0.9362008669656048,0.78724208126561
7,276.0,5.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819078317760176,2.3056682593264997,0.9404367777967653,0.7958224999725731,1.062389211910705,2.2116562422398918,0.9273337528406385,0.7555631940793996,1.0635256485646711,2.220906555701149,0.9361877387441405,0.7872432416501469
8,286.0,5.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0822395090812136,2.308613572802692,0.9403580914899166,0.7955564014865488,1.0624024169606134,2.2125590636119146,0.9272945073708947,0.7554750983126493,1.0632509200252123,2.22198931335284,0.9361923845049634,0.7871395164360172
9,282.0,5.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0825686327897726,2.3113780779886364,0.9402767422103222,0.7953068301206676,1.0623866694384,2.21336852315364,0.9272700720384036,0.755418920366091,1.062871545565984,2.223277703068144,0.936182542900978,0.7870160922340328
