,n_estimators,max_depth,min_samples_split,min_samples_leaf,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,165.0,6.0,6.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.345969072901169,11.011108940708212,0.20258060982600246,0.025055536210236432,2.2238048533985735,9.557139675128916,0.22018885275009092,-0.019437618962415422,2.367176029251799,10.049243540644381,0.19964649844994575,0.03731002365351255
1,284.0,5.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082092578292667,2.3071904806669123,0.9403962151955022,0.7956851309020987,1.0623880181573047,2.2120572558512857,0.9273158837896045,0.7555202436199149,1.0634126899650564,2.2213806371085814,0.9361871620508591,0.7871978259512378
2,268.0,5.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082247509870433,2.308619570706372,0.940357585123395,0.7955558704834573,1.0623981404540221,2.212390643802472,0.927300107627034,0.7554955631247419,1.063225842028914,2.221739915703008,0.9362034449721958,0.7871634080470271
3,285.0,5.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823982048596594,2.3100738140616484,0.9403165310777204,0.7954246300997408,1.0623789791536487,2.21292870851759,0.9272825674719363,0.7554487954731126,1.0629979824066458,2.222316391262104,0.936198230304875,0.7871081832691516
4,272.0,5.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824798068470607,2.310700801415455,0.9402990596373034,0.7953680137558622,1.062388953419788,2.2130039010036797,0.927283124843159,0.7554488804731341,1.0629306758238286,2.222787230689309,0.9361963410856424,0.7870630781430586
5,277.0,5.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824852277258616,2.3107001551689796,0.9402947420737161,0.7953681008794515,1.0623701230510265,2.212938619437915,0.9272794116989267,0.7554540535984412,1.0629593770934216,2.222837965296626,0.9361901540120867,0.7870582179067911
6,276.0,5.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082411347218507,2.3100670837780437,0.9403135209521628,0.795425255433357,1.0623662309489603,2.2127791721218415,0.9272848239284178,0.7554667281020802,1.0630288786254993,2.222255789718033,0.936200515058367,0.7871139887309052
7,277.0,5.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824151439857181,2.3100671117373546,0.94031275722282,0.795425272006933,1.0623654437568382,2.2127750614415818,0.9272837299778532,0.7554666159392522,1.0630320728414888,2.2222916852543824,0.9361978376222517,0.7871105500369479
8,269.0,5.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823211520084697,2.3093809928381734,0.9403369812346798,0.7954872500048111,1.0623775923486258,2.2125401702300307,0.9272948463743422,0.75548379832998,1.0632014131185736,2.2224432681300863,0.9361904982410485,0.7870960288130929
9,270.0,5.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0820005527701602,2.3064375677907556,0.9404197005747346,0.7957530641612718,1.0623723523551127,2.2117122044878506,0.9273333005418706,0.7555573327611022,1.063511059474376,2.2210400894614466,0.9361943896398517,0.7872304494820577
10,276.0,5.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082411347218507,2.3100670837780437,0.9403135209521627,0.795425255433357,1.0623662309489603,2.2127791721218415,0.9272848239284178,0.7554667281020802,1.0630288786254993,2.222255789718033,0.936200515058367,0.7871139887309052
11,277.0,5.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824852277258616,2.31070015516898,0.9402947420737161,0.7953681008794515,1.0623701230510265,2.2129386194379146,0.9272794116989267,0.7554540535984412,1.0629593770934216,2.222837965296626,0.9361901540120867,0.7870582179067911
12,277.0,5.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824852277258616,2.31070015516898,0.9402947420737161,0.7953681008794515,1.0623701230510265,2.2129386194379146,0.9272794116989267,0.7554540535984412,1.0629593770934216,2.222837965296626,0.9361901540120867,0.7870582179067911
13,277.0,5.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824151439857181,2.3100671117373546,0.94031275722282,0.795425272006933,1.0623654437568382,2.2127750614415818,0.9272837299778532,0.7554666159392522,1.0630320728414888,2.2222916852543824,0.9361978376222517,0.7871105500369479
14,268.0,5.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819966086125268,2.3064361467901926,0.9404187868635774,0.7957532233963747,1.062360611581609,2.211606091937428,0.9273362372440541,0.7555685344047389,1.0634966593970592,2.220924745699636,0.93619821868537,0.7872414990981685
15,266.0,5.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823994741833125,2.310086444166614,0.9403170476752299,0.7954236015986884,1.0623769449535951,2.2127915218771848,0.9272896633672152,0.7554656685149606,1.063005550470685,2.2222193686597618,0.936206689734551,0.7871174777684217
16,281.0,5.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824802333715398,2.310704850345793,0.940296523439073,0.7953676372179317,1.0623819776614947,2.213034429349488,0.9272786327683287,0.7554431531953272,1.0629506028359512,2.2229263853378898,0.9361878716693451,0.7870497475092841
17,278.0,5.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08201756375463,2.3064362521929604,0.9404148995426134,0.7957532541397139,1.0623766603342246,2.2117198876416317,0.927327655244008,0.7555557485320041,1.0635515452405317,2.221235683571034,0.9361841737878783,0.7872117121026747
18,277.0,5.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082340027942271,2.309372757394572,0.9403327279213591,0.7954880103682167,1.0623725136271789,2.2125570050956016,0.9272887668620577,0.7554811645969287,1.063245078765003,2.2225428523917143,0.9361818536276847,0.7870864889138872
19,127.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817420748054924,2.3041107434521413,0.9404720672919744,0.7959622736318437,1.0624302639411525,2.2114282358425528,0.9273373743418541,0.7555656559249168,1.0634031730249367,2.2197406113603804,0.9361969861217898,0.7873549359209939
20,101.0,5.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081802559611099,2.3041201455710576,0.940462697126675,0.7959614251720675,1.062377834341938,2.2108284532028506,0.927344477008818,0.7556318166076335,1.063454402325987,2.2194033886715414,0.9362022575799475,0.7873872409299261
21,277.0,5.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824852277258616,2.31070015516898,0.9402947420737161,0.7953681008794515,1.0623701230510265,2.2129386194379146,0.9272794116989267,0.7554540535984412,1.0629593770934216,2.222837965296626,0.9361901540120867,0.7870582179067911
22,277.0,5.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082340027942271,2.3093727573945726,0.9403327279213591,0.7954880103682167,1.0623725136271789,2.2125570050956016,0.9272887668620577,0.7554811645969287,1.063245078765003,2.2225428523917143,0.9361818536276847,0.7870864889138872
23,107.0,5.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0816991344725184,2.3040764390415935,0.9404698653552745,0.7959652762888274,1.0623625992396524,2.211165944958295,0.9273347324842847,0.7555866203015015,1.0633407631970722,2.219249914155646,0.9362107818086116,0.7874019433677245
24,262.0,5.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0820884749292263,2.3071839113965873,0.9403998784060328,0.7956857655169336,1.062430580286641,2.2120194353795553,0.9273211096950635,0.7555283383364491,1.0634536773196146,2.2212692704158954,0.9361968010404851,0.7872084945750315
25,128.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817475765421318,2.304113391630584,0.9404721418559276,0.7959620523106705,1.0624637986085914,2.211521297425704,0.92733499028035,0.7555529583560308,1.0634174652193622,2.2196058023570244,0.9362015051383419,0.7873678502538716
26,267.0,5.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082402578456371,2.3100814704539037,0.940315007373295,0.795424010805066,1.0623730877035753,2.212760426069501,0.9272879075998172,0.7554688112942713,1.0630054596281864,2.222200032831125,0.9362061192311184,0.7871193300877866
27,285.0,5.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823982048596594,2.3100738140616484,0.9403165310777204,0.7954246300997408,1.0623789791536487,2.2129287085175897,0.9272825674719363,0.7554487954731126,1.0629979824066458,2.222316391262104,0.936198230304875,0.7871081832691516
